댓글 작성자,댓글 내용,댓글 작성 시간
뿌르링팡 ppururinpang,레바논이 또 전쟁터가 되려나 이란이 이렇게.쉽게 움직일벗같진 않은데,2024-09-30 15:07:15
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:07:16
오늘도 내일도,사우디돈없어서 사막공사 축소시킨거 생각보다 사우디 나라 돈많지 않다,2024-09-30 15:07:21
228 choi,ㅇㅇ 이스라엘한테 현무 한번써보라해두 좋겠네,2024-09-30 15:07:25
한국,건희에 초후 감빵 생마감,2024-09-30 15:07:29
포크포크,사우디 및 중동은 팔레스타인 동정은 하지만 그렇다고 미국 이스라엘과 척지고 싶지 않아하고 오히려 이란 싫어함,2024-09-30 15:07:37
Haji Mo,이스라엘이 지금 하는 짓이 악마짓인디,2024-09-30 15:07:38
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:07:40
nigeria forever,노무현식 현무,2024-09-30 15:07:43
아스타나,이스라엘은 2027년까지 유라시아 연결을 시킬거임,2024-09-30 15:07:50
밥묵은나?,테러단체랑 이란 말고는 그닥 이스라랑 적대 없음,2024-09-30 15:07:52
황대장,이란은 페르시아어 습니다 아랍아님 터키도 터키어슴 아랍아님 이라크 시리아 가지 아랍임 ,2024-09-30 15:07:53
so so,벙커버스터 현무로 실험했을수도있음,2024-09-30 15:07:53
문덕준,이란에 핵무기 써라 먼저쓰는자가 승리한다,2024-09-30 15:07:56
GAZETE,어~ 어~ 어~ 이런것들 출연시키지마세요.,2024-09-30 15:07:57
idbms M,God bless Israel :folded_hands:,2024-09-30 15:08:04
Rainbow calligraphy1,이스라엘은 탄도미사일 자체개발은 못하는 걸로 알고 잇고.. 지금 이스라엘에 있는 벙거버스터나 탄도미사일은 전부 미국에서 지원해준거임,2024-09-30 15:08:09
딥슬로,이란 핵없음,2024-09-30 15:08:13
Vxjrgtb,미치넘도 있네 중립을 지켜야지,2024-09-30 15:08:14
김상기,그러게 가만잇는 이스라엘 건드려서 악마를 만드냐~,2024-09-30 15:08:14
포크포크,하마스 후티반군 헤즈볼라 이란은 북한과 같은편이다. 당연히 한국은 이스라엘편 들어야하고,2024-09-30 15:08:19
rtlkfcb,힘이 정의지 무슨 구닥다리 자의적 도덕기준 가져다가 입으로 심판질함?,2024-09-30 15:08:23
Haji Mo,그럼 니 기준에 지금 이스라엘이 하는짓이 정당함?,2024-09-30 15:08:25
천조개미남,와.. 이건 너무 심한데?,2024-09-30 15:08:25
S tellarators,이스라엘이 잘하고 있다.. 악마가 되어도 된다.. 나라의 존망을 위해서라면,2024-09-30 15:08:28
주먹고구마,미국이 일으킨 싸움이다,2024-09-30 15:08:32
아스타나,이스라엘을 건드렸다고 생각하나? ,2024-09-30 15:08:33
rtlkfcb,정당 같은 소리 하네,2024-09-30 15:08:35
Haji Mo,이스라엘이 언제 가만이 있었는디?,2024-09-30 15:08:39
종부 김,벌써 포탄.및 탄약 100만 이상이 이스라엘로 들어 갔다는데...우리가 남이가?,2024-09-30 15:08:42
아스타나,팔레이스타인이나 이란이나 조용히 살고 싶을걸 ㅋ,2024-09-30 15:08:42
프사이,근데 요르단은 조용하네?,2024-09-30 15:08:45
이원희,탄도 미사일 기술까지 이스라엘이 얻으면 이스라엘이 통제 불능이 되기라도 하나 보죠 뭐..,2024-09-30 15:08:47
주먹고구마,미국의 공작아님?,2024-09-30 15:08:48
plin,이란이 진짜 아무것도 못하는 이유는 미국이 중동에 항공모함을 보내서임 ,2024-09-30 15:08:48
나이스,크기 차이가 어마어마 하네,2024-09-30 15:08:49
rtlkfcb,그럼 자국이 미사일 수십발 맞는데 반격 안하고 가만히 있어야 정의임,2024-09-30 15:08:50
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:08:50
rtlkfcb,?,2024-09-30 15:08:50
Sera JEON,음 이스라엘은 공격이 최선의 방어 라는걸 실천하고 있군요,2024-09-30 15:08:51
프사이,요르단은 어떻게 협상했나?,2024-09-30 15:08:53
M M,이스라엘 혼자 중동이랑 다이깨네,2024-09-30 15:08:53
rtlkfcb,백날 입으로 도덕이 어쩧네 떠들어라,2024-09-30 15:09:00
주먹고구마,미국 항공모함 저기 떠있다,2024-09-30 15:09:03
포크포크,국기에 이스라엘 멸망 적어놓는 놈들인데 이게 정상이냐?,2024-09-30 15:09:05
plin,미국아니면 이란도 진즉에 이스라엘한테 보복 했지,2024-09-30 15:09:05
Haji Mo,중동이랑 뭔 다이깸?,2024-09-30 15:09:10
나이스,저 지도 보니 이스라엘 대단하다,2024-09-30 15:09:10
행복짱,깝죽대던 후티 아작나네,2024-09-30 15:09:13
Haji Mo,지금 조직하고 싸우는거지,2024-09-30 15:09:15
문재인,공군력 믿고 까부는 사탄들이다. 공군력 없었으면 이스라엘 쨉도 안됫을것임,2024-09-30 15:09:16
프사이,국제 정치에 도덕이 어딨음 다 자국이득으로 돌아가는거지,2024-09-30 15:09:17
한정숙,이스라엘 만세,2024-09-30 15:09:17
Haji Mo,국가전도 아닌데,2024-09-30 15:09:19
프사이,국제 정치는 야생임,2024-09-30 15:09:22
rtlkfcb,하마스가 쳐들어와서 1000명 넘게 살해한게 시작이었는데 이것도 이스라엘이 조작했냐?,2024-09-30 15:09:28
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:09:29
M M,옛날부터 혼자 다 다이깸,2024-09-30 15:09:30
plin,간다효 구독자 ㅋㅋㅋ,2024-09-30 15:09:32
Haji Mo,하마스가 왜 처들어 갔냐?,2024-09-30 15:09:39
주먹고구마,이란 레바논이 같이 이스라엘 치면,2024-09-30 15:09:40
문재인,그거 이스라엘 넘들이 한짓임,2024-09-30 15:09:42
rtlkfcb,자국민 1000명 테러당했는데 가만 있어야 함?,2024-09-30 15:09:45
YAN,간다효 VS 슈카월드 누가 더 국제정치 잘암 ?,2024-09-30 15:09:47
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:09:49
Haji Mo,이스라엘이 잘했는데 하마스가 처들어감?,2024-09-30 15:09:49
밥묵은나?,중동이랑 싸운다고 오버좀 떨지마라 테러단체랑 싸우는건디 ㅋㅋ,2024-09-30 15:09:50
초코파이,이러니 무지 덥다,2024-09-30 15:09:55
Rainbow calligraphy1,문제는 이스라엘 경제가 점점 어려워지고 있다는 사실,2024-09-30 15:09:55
주먹고구마,와 빵빵터지네,2024-09-30 15:09:56
마이웨이,헤즈볼라 조밥이네,2024-09-30 15:10:00
daniel.h lee,미군출동임,2024-09-30 15:10:01
SM A,조선주식 지수공매도 내돈이 복사가된다 복사가되 ,2024-09-30 15:10:04
나이스,"간다효,슈카 다 다 짭 임",2024-09-30 15:10:07
문재인,하마스내에 이스라엘 스파이가 하마스 조종해서 자작극 벌인짓임,2024-09-30 15:10:07
rtlkfcb,그럼 하마스가 잘함?,2024-09-30 15:10:07
초코파이,친한경 앞서면 머하냐,2024-09-30 15:10:09
ㅇㅈ,이스라엘이 자체 미사일이 없단다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제리코 1.2.3,2024-09-30 15:10:09
rtlkfcb,역사 공부 좀 해라,2024-09-30 15:10:11
맥스,멋지다..,2024-09-30 15:10:11
행복짱,하마스 헤즈볼라 후티는 이란과함께 4대 악의축,2024-09-30 15:10:12
김상기,하마스가 군대로 쳐들어갓으면 인정인데 민간인 학살 햇잔아 똑같이 당하는거지,2024-09-30 15:10:12
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:10:13
idbms M,God bless Israel :folded_hands::folded_hands:,2024-09-30 15:10:14
봉인된폭풍의누구드라,어~에~어~에 이런것들 출연시키지 마슈,2024-09-30 15:10:17
Haji Mo,하마스가 잘한거 없지만,2024-09-30 15:10:18
Slow Life 슬로우 라이프,진짜 2차대전 이후 뼈를 깍은 이스라엘 진짜 대단하다,2024-09-30 15:10:19
rtlkfcb,하마스가 군대로 쳐들어갔으면 인정,2024-09-30 15:10:21
초코파이,덥다 더워,2024-09-30 15:10:21
천조개미남,이래도 되는거냐? 이스라엘?,2024-09-30 15:10:22
Haji Mo,이스라엘도 잘한거 없음,2024-09-30 15:10:22
종부 김,오로지 ...동해.독도 표기는 이스라엘 뿐이다. 우리가 남이가.,2024-09-30 15:10:23
싱사랑2,이스라엘 진짜 너무하네!!!,2024-09-30 15:10:26
마씻당,날강도 이스라엘 남의땅 에 살고 그러면서 주인행세하는,2024-09-30 15:10:26
마이웨이,다음 어디야?,2024-09-30 15:10:27
Haji Mo,그런데 뭔 이스라엘 타령?,2024-09-30 15:10:27
MyLittleHobby,이스라엘 화이팅,2024-09-30 15:10:29
plin,개인적으로 간다효 국제정치에 대한 자세가 제대로 잡혀있음,2024-09-30 15:10:29
아스타나,의사를 왜 늘리겠냐. 전쟁준비지,2024-09-30 15:10:29
Rainbow calligraphy1,이스라엘친구말이... 남자들 죄다 군에 징집되어서 지금 경제활동이 축소되고 상황이 안좋다고 함.,2024-09-30 15:10:31
GPTV,우와. 이스라엘 신났네.,2024-09-30 15:10:36
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:10:37
rtlkfcb,잘하고 못하고는 니가 잣대임?,2024-09-30 15:10:38
주먹고구마,미국이 무기 제공안해주면 저렇게 못깝치지,2024-09-30 15:10:39
rtlkfcb,도덕 기준임 본인이? ㅋㅋ,2024-09-30 15:10:43
고골버스,팔아 먹고 .. ,2024-09-30 15:10:46
Haji Mo,그럼 니 잣대임?,2024-09-30 15:10:48
M M,서로 인간 청소좀 해라 굳,2024-09-30 15:10:49
프사이,당연히 미국이 뒤에 없으면 이렇게 까지 못하지,2024-09-30 15:10:52
이원희,이스라엘의 경우 어떤 종류의 여단 추가길래 그거 하나로 레바논은 물론이고 이란까지 노리겠다는 건지 감이 안옵니다.,2024-09-30 15:10:52
rtlkfcb,아니 내가 잣대를 제시했냐?,2024-09-30 15:10:55
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling:,2024-09-30 15:10:56
Rainbow calligraphy1,이스라엘 남자들 지금 외국으로 출국도 못함,2024-09-30 15:10:58
고골버스,익 방어니 .. 학살이지 ..,2024-09-30 15:11:00
ㅇㅈ,이스라엘에 의해 중동 평화가 온다,2024-09-30 15:11:01
rtlkfcb,도덕적 잣대 갖다 댄게 너잖아,2024-09-30 15:11:02
프사이,뒤에 미국없었으면 이미 끝판대장이 움직였음,2024-09-30 15:11:04
마이웨이,중동은 서열정리 할필요잇어~~,2024-09-30 15:11:05
ㅇㅈ,악의 세력은 소멸,2024-09-30 15:11:09
rtlkfcb,니가 누가 악마다 어쩐다,2024-09-30 15:11:10
행복짱,이스라엘 화이팅 최고닷,2024-09-30 15:11:11
Haji Mo,니가 하마스 나쁘고 이스라엘 좋다는게,2024-09-30 15:11:12
주니,미국보다 낫네,2024-09-30 15:11:13
j,"레바논 동명부대에 대해서 자세히 알고싶습니다,:woman_shrugging::person_shrugging:",2024-09-30 15:11:13
Haji Mo,니 잣대잖어,2024-09-30 15:11:14
rtlkfcb,아무짝에도 쓸데 없는 소리,2024-09-30 15:11:15
주먹고구마,인류멸망 100년도 안남았다,2024-09-30 15:11:15
RimEDITION,이불속에서 활개중..,2024-09-30 15:11:17
고골버스,진가 학살을 당하면서 ..,2024-09-30 15:11:18
주먹고구마,인류 말살정책,2024-09-30 15:11:24
주니,후티까지 쳐바르고 이야,2024-09-30 15:11:25
김상기,일본이 제주도 쳐들어가서 민간인 학살해도 봐줄거냐??,2024-09-30 15:11:26
rtlkfcb,그건 니 도덕적 잣대의 임의성을 보여주려고 하는 거지,2024-09-30 15:11:27
나나,전쟁 그만하고 서로 뽀뽀해,2024-09-30 15:11:27
Rainbow calligraphy1,20-30대는 전부 이스라엘로 복귀연락받아서 들어왔다고 하고...,2024-09-30 15:11:28
rtlkfcb,도덕이 왜 나와 여기서 애초에,2024-09-30 15:11:31
rtlkfcb,전쟁에 도덕이 있냐?,2024-09-30 15:11:34
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling::face-blue-smiling::face-blue-smiling:,2024-09-30 15:11:36
이건지,하마스 강간 살인한건 도덕적으로 괜찮냐,2024-09-30 15:11:37
문재인,이스라엘넘들은 땅을 뺏을게 아니라 호주같은 나라에 땅을 샀어야 했었슴,2024-09-30 15:11:38
하누,이기는편 우리편 ㅋ,2024-09-30 15:11:40
나이스,삐삐 공격은 진짜 레젼드였다.,2024-09-30 15:11:45
프사이,전쟁에 자비가 어딧어,2024-09-30 15:11:45
Haji Mo,넘에 잣대 탓하고 있네 ㅋㅋ,2024-09-30 15:11:45
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:11:47
문재인,도덕적으로 괜찮지,2024-09-30 15:11:50
GPTV,이스라엘은 나라 전체가 군대,2024-09-30 15:11:53
프사이,총알에 눈달렸는지 아나,2024-09-30 15:11:54
문재인,강간과 살인은 인간의 본능이다,2024-09-30 15:11:55
rtlkfcb,하마스 애들이 인질 잡고 강간하고 사람 수백 수천 죽여도 아무말 안하는 애들이,2024-09-30 15:11:56
아스타나,상암에서 팔레스타인 국기 들고나온넘들 다 조사해야된다,2024-09-30 15:11:56
rtlkfcb,이스라엘 보복하면 윤리 이ㅈㄹ ㅋㅋㅋ,2024-09-30 15:12:02
주먹고구마,중동이 미국한테 개기니까 개처맞노,2024-09-30 15:12:03
Haji Mo,넌 지금 니가 니 잣대로 말하고 있다는것도 모르냐??,2024-09-30 15:12:05
성도,미국이 않나서면 이스리. 벌써 이란에다 핵발사했음,2024-09-30 15:12:05
ㅇㅈ,원래 레바논 다음 시리아 였는데 .. 후티가 나대니까 순서가 바뀜,2024-09-30 15:12:05
Life,전쟁에서 도덕을 찾넹 ㅋㅋ,2024-09-30 15:12:05
Joe simon,주댕 평화주의자들 납셨네. 이스라엘처럼 해야 생존한다,2024-09-30 15:12:09
주니,미국은 말뿐인디 이스라엘은 행동으로 보여주네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 졸라 멋있네ㅋㅋㅋ,2024-09-30 15:12:10
영식 김,장기전 시작했네 테러많이 발생하겠네 한국도 안전하지 않겠네 이스라엘 무기 수출많이 하지,2024-09-30 15:12:11
일신우일신,레바논 UN평화유지군으로 파병나간거 아님?,2024-09-30 15:12:12
GPTV,재인이 다운 말이다,2024-09-30 15:12:12
좋은나라,"석열아, 파병해야지",2024-09-30 15:12:13
이원희,문재인 // 호주 국토를 매입한다 치고... 그 안에서 어느 나라와 거래 했어야 합니까?,2024-09-30 15:12:15
rtlkfcb,니 잣대를 페러디 하는 거라고,2024-09-30 15:12:15
화이,힘이 곧 정의이다,2024-09-30 15:12:19
성 이름,전쟁이 스포츠냐ㅋㅋ 도덕 ㅇㅈㄹ,2024-09-30 15:12:20
지웅쓰,미사일100발 ㅅㅅ,2024-09-30 15:12:21
Life,전쟁 터지면 살거나 죽거나,2024-09-30 15:12:21
적룡후,본인 들 가족들이납치 되서 죽고 포로로 끌려 다니다가 죽었다면 그래도 팔래스타인.헤즈볼라 응원 할거임??,2024-09-30 15:12:23
Haji Mo,질알 싸고 있네 ㅋㅋ,2024-09-30 15:12:24
plin,전쟁에 도덕이 없다고 할순 없는데 제네바 협약이 있는데 ,2024-09-30 15:12:25
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:12:26
rtlkfcb,힘 쎈 놈이 먹는 거지,2024-09-30 15:12:28
이건지,전쟁에 민간인 피해는 당연한건데 니가 민간이 피해 안주는 미사일을 만들어,2024-09-30 15:12:29
daniel.h lee,동명부대,2024-09-30 15:12:29
Yoegu Yoon,후티 때린건 미국 같은데,2024-09-30 15:12:30
지웅쓰,명분은 이스라엘에 있다,2024-09-30 15:12:30
종부 김,이스라엘....생존법 눈에는 눈 이에는 이. 이게 이스라엘의 생존법 이다,2024-09-30 15:12:30
plin,근데 인간이 전쟁을 하다 보면 도덕이 없어지는거지 ,2024-09-30 15:12:34
rtlkfcb,그 앞에서 백날 도덕 떠들어봐라,2024-09-30 15:12:34
주먹고구마,전쟁 e스포츤데?,2024-09-30 15:12:35
S tellarators,힘이 정의다 -> 맞는말,2024-09-30 15:12:36
좋은나라,"석열아, 우파 군대 파견해야지",2024-09-30 15:12:37
rtlkfcb,그놈의 도덕ㅋㅋㅋㅋ,2024-09-30 15:12:38
Life,양육강식,2024-09-30 15:12:38
문재인,교황도 이스라엘을 사탄이라고 그랬다,2024-09-30 15:12:39
주니,이스라엘 진짜 중동 깡패답네ㅋㅋㅋ,2024-09-30 15:12:40
치우,게엄령 선포하고 전쟁 준지 하자,2024-09-30 15:12:42
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:12:46
프사이,전쟁의 본질이 저러니 전쟁이 안터지게 평소에 준비해야지,2024-09-30 15:12:46
rtlkfcb,좌파 종특 도덕 이ㅈㄹ ,2024-09-30 15:12:46
동천성야,이스라엘은 악의 축이다,2024-09-30 15:12:50
Rainbow calligraphy1,전쟁이라는 건 붙을나라와 경제적으로 외교적으로 군사적으로 대등이상해야 가능한데... 중동국가들은 붙으면 승산없다는 걸 알고.. 자국민들이 갈려나갈거 알면서도 왜 저러는지 참.,2024-09-30 15:12:53
rtlkfcb,더런 짓은 지들이 다 하면서 ,2024-09-30 15:12:54
주먹고구마,저건 전쟁이아니고,2024-09-30 15:12:54
의자황,원래 약한놈들이 나불나불 말이 많음 ..전쟁은 이스라엘 처럼 해야 함,2024-09-30 15:12:55
롱만 함,선택받은 유대인 민족 :face-blue-smiling::face-blue-smiling:이스라엘 화이팅,2024-09-30 15:12:56
